case;singular;plural
g;misukese;misukeste
p;misukest;misukesi
ill;misukesesse;misukesisse, misukestesse
in;misukeses;misukesis, misukestes
el;misukesest;misukesist, misukestest
all;misukesele;misukesile, misukestele
ad;misukesel;misukesil, misukestel
abl;misukeselt;misukesilt, misukestelt
tr;misukeseks;misukesiks, misukesteks
ter;misukeseni;misukesteni
es;misukesena;misukestena
ab;misukeseta;misukesteta
kom;misukesega;misukestega
n;mitmes;mitmendad
g;mitmenda;mitmendate
p;mitmendat;mitmendaid
ill;mitmendasse;mitmendaisse, mitmendatesse
in;mitmendas;mitmendais, mitmendates
el;mitmendast;mitmendaist, mitmendatest
all;mitmendale;mitmendaile, mitmendatele
ad;mitmendal;mitmendail, mitmendatel
abl;mitmendalt;mitmendailt, mitmendatelt
tr;mitmendaks;mitmendaiks, mitmendateks
ter;mitmendani;mitmendaini, mitmendateni
es;mitmendana;mitmendaina, mitmendatena
ab;mitmendata;mitmendateta
kom;mitmendaga;mitmendatega
n;mitmesugune;mitmesugused
g;mitmesuguse;mitmesuguste
p;mitmesugust;mitmesuguseid
ill;mitmesugusesse;mitmesugustesse, mitmesuguseisse
in;mitmesuguses;mitmesugustes, mitmesuguseis
el;mitmesugusest;mitmesugustest, mitmesuguseist
all;mitmesugusele;mitmesugustele, mitmesuguseile
ad;mitmesugusel;mitmesugustel, mitmesuguseil
abl;mitmesuguselt;mitmesugustelt, mitmesuguseilt
tr;mitmesuguseks;mitmesugusteks, mitmesuguseiks
ter;mitmesuguseni;mitmesugusteni, mitmesuguseini
es;mitmesugusena;mitmesugustena, mitmesuguseina
ab;mitmesuguseta;mitmesugusteta
kom;mitmesugusega;mitmesugustega
n;mittekee;mittekeed
g;mittekee;mittekeede
p;mittekeed;mittekeesid
ill;mittekeesse;mittekeedesse
in;mittekees;mittekeedes
el;mittekeest;mittekeedest
all;mittekeele;mittekeedele
ad;mittekeel;mittekeedel
abl;mittekeelt;mittekeedelt
tr;mittekeeks;mittekeedeks
ter;mittekeeni;mittekeedeni
es;mittekeena;mittekeedena
ab;mittekeeta;mittekeedeta
kom;mittekeega;mittekeedega
n;mitu;mitmed
g;mitme;mitmete
p;mitut;mitmeid
ill;mitmesse;mitmeisse, mitmetesse
in;mitmes;mitmeis, mitmetes
el;mitmest;mitmeist, mitmetest
all;mitmele;mitmeile, mitmetele
ad;mitmel;mitmeil, mitmetel
abl;mitmelt;mitmeilt, mitmetelt
